INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
47,"Décarie","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296291.119,5037159.598,-73.608829,45.474311
48,"Elmhurst","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293738.384,5035019.932,-73.64143,45.455022
49,"Elmhurst","Saint-Jacques",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294066.935,5034838.004,-73.637226,45.45339
50,"Girouard","Monkland",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295287.251,5037445.335,-73.621674,45.476869
53,"Girouard","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296044.392,5036962.386,-73.611981,45.472533
56,"Grand Boulevard","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295150.977,5036309.927,-73.623395,45.46665
57,"Madison","Saint-Jacques",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295524.941,5035913.496,-73.618605,45.463088
58,"Maisonneuve","Marlowe",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296627.617,5037110.454,-73.604524,45.473873
67,"Rosedale","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294327.504,5035695.921,-73.633912,45.461113
71,"Sherbrooke","7141 Ouest (Univ. Concordia)",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293928.62,5035315.5,-73.639005,45.457684
72,"Sherbrooke","West Broadway",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293833.592,5035187.863,-73.640217,45.456534
89,"Côte-Saint-Luc","5100",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295374.22,5038073,-73.620574,45.482518
92,"Côte-Saint-Luc","Earnscliffe",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295055.44,5037694.44,-73.624644,45.479108
130,"Barclay","Côte-des-Neiges",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294192.554,5040290.188,-73.635737,45.502453
132,"Hutchison","Ogilvy",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295068.114,5043372.57,-73.624595,45.530202
137,"Bedford","Côte-des-Neiges",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294036.857,5040390.55,-73.637732,45.503353
138,"Gosford","Notre-Dame / Saint-Claude",6,"Ville-Marie","Permanent",300632,5041020,-73.553342,45.509088
144,"Côte-des-Neiges","Jean-Brillant",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295285.262,5039581.046,-73.621741,45.496087
145,"Côte-des-Neiges","Lacombe",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295157.362,5039662.546,-73.623379,45.496819
148,"Appleton","Côte-des-Neiges/Plamondon",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294256.25,5040250,-73.634921,45.502092
150,"Côte-des-Neiges","Ridgewood",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296179.529,5039546.69,-73.610298,45.49579
155,"Côte-Sainte-Catherine","Hôpital Sainte-Justine",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295119.66,5040307.5,-73.623874,45.502622
159,"Côte-Sainte-Catherine","Lemieux",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294278.766,5038983.039,-73.634606,45.490692
163,"Darlington","Van Horne",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",294989.376,5040890.423,-73.625553,45.507865
171,"Edouard-Montpetit","Louis-Colin",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295511.88,5040377.998,-73.618856,45.503262
172,"Edouard-Montpetit","Stirling",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",295797.546,5040825.557,-73.615209,45.507293
175,"Jean-Talon","Parc",2,"Villeray - Saint-Michel - Parc-Extension","Permanent",295243.98125,5043364.17825,-73.622343,45.530129
594,"Laurier","Saint-Hubert",5,"Plateau Mont-Royal","Permanent",297942.901,5043231.085,-73.587788,45.528963
618,"Dorion","Sainte-Catherine",6,"Ville-Marie","Permanent",300783.978,5042637.416,-73.55141,45.523643
629,"Lorimier","Sainte-Catherine",6,"Ville-Marie","Permanent",300865.799,5042768.592,-73.550364,45.524824
644,"Bercy","Ontario",6,"Ville-Marie","Permanent",300782.788,5043865.102,-73.551435,45.53469
648,"Frontenac","Ontario",6,"Ville-Marie","Permanent",300687.889,5043678.6,-73.552649,45.533012
